# 108 Languages for URIEL-Based BO Optimization
# ISO 639-3 codes (3-letter format)
# Compatible with URIEL typological database via lang2vec
#
# Language families represented:
# - Indo-European: Germanic, Romance, Slavic, Indo-Aryan, Iranian, Celtic, Baltic, Greek, Armenian
# - Uralic: Finnic, Sami, Mordvinic
# - Afro-Asiatic: Semitic, Cushitic
# - Turkic
# - Sino-Tibetan
# - Japonic
# - Koreanic
# - Austroasiatic
# - Dravidian
# - Niger-Congo
# - Tai-Kadai
#
# Total: 108 languages across 22 genetic clusters
# All languages verified to exist in URIEL database (lang2vec)

afr     # Afrikaans (Germanic)
amh     # Amharic (Semitic)
ara     # Arabic (Semitic)
arg     # Aragonese (Romance)
asm     # Assamese (Indo-Aryan)
ast     # Asturian (Romance)
aze     # Azerbaijani (Turkic)
bel     # Belarusian (Slavic)
ben     # Bengali (Indo-Aryan)
bod     # Tibetan (Sino-Tibetan)
bre     # Breton (Celtic)
bul     # Bulgarian (Slavic)
cat     # Catalan (Romance)
ces     # Czech (Slavic)
cos     # Corsican (Romance)
cym     # Welsh (Celtic)
dan     # Danish (Germanic)
deu     # German (Germanic)
ell     # Greek (Hellenic)
eng     # English (Germanic)
est     # Estonian (Finnic)
eus     # Basque (Language isolate)
ext     # Extremaduran (Romance)
fao     # Faroese (Germanic)
fas     # Persian/Farsi (Iranian)
fin     # Finnish (Finnic)
fra     # French (Romance)
gla     # Scottish Gaelic (Celtic)
gle     # Irish (Celtic)
glg     # Galician (Romance)
guj     # Gujarati (Indo-Aryan)
hau     # Hausa (Chadic)
heb     # Hebrew (Semitic)
hin     # Hindi (Indo-Aryan)
hrv     # Croatian (Slavic)
hun     # Hungarian (Uralic)
hye     # Armenian (Armenian)
ibo     # Igbo (Niger-Congo)
isl     # Icelandic (Germanic)
ita     # Italian (Romance)
izh     # Ingrian (Finnic)
jpn     # Japanese (Japonic)
kan     # Kannada (Dravidian)
kat     # Georgian (Kartvelian)
kaz     # Kazakh (Turkic)
khm     # Khmer (Austroasiatic)
kir     # Kirghiz (Turkic)
kor     # Korean (Koreanic)
kpv     # Komi-Zyrian (Uralic)
krl     # Karelian (Finnic)
lad     # Ladino (Romance)
lao     # Lao (Tai-Kadai)
lav     # Latvian (Baltic)
lij     # Ligurian (Romance)
lit     # Lithuanian (Baltic)
liv     # Livonian (Finnic)
lmo     # Lombard (Romance)
ltz     # Luxembourgish (Germanic)
mal     # Malayalam (Dravidian)
mar     # Marathi (Indo-Aryan)
mdf     # Moksha (Mordvinic)
mlt     # Maltese (Semitic)
mon     # Mongolian (Mongolic)
mwl     # Mirandese (Romance)
mya     # Burmese (Sino-Tibetan)
myv     # Erzya (Mordvinic)
nap     # Neapolitan (Romance)
nep     # Nepali (Indo-Aryan)
nld     # Dutch (Germanic)
nor     # Norwegian (Germanic)
ori     # Oriya (Indo-Aryan)
orm     # Oromo (Cushitic)
pan     # Punjabi (Indo-Aryan)
pms     # Piedmontese (Romance)
pol     # Polish (Slavic)
por     # Portuguese (Romance)
ron     # Romanian (Romance)
rus     # Russian (Slavic)
scn     # Sicilian (Romance)
sin     # Sinhala (Indo-Aryan)
slk     # Slovak (Slavic)
slv     # Slovenian (Slavic)
sma     # Southern Sami (Sami)
sme     # Northern Sami (Sami)
smj     # Lule Sami (Sami)
smn     # Inari Sami (Sami)
sms     # Skolt Sami (Sami)
som     # Somali (Cushitic)
spa     # Spanish (Romance)
srd     # Sardinian (Romance)
srp     # Serbian (Slavic)
swa     # Swahili (Niger-Congo)
swe     # Swedish (Germanic)
tam     # Tamil (Dravidian)
tel     # Telugu (Dravidian)
tgk     # Tajik (Iranian)
tha     # Thai (Tai-Kadai)
tur     # Turkish (Turkic)
udm     # Udmurt (Uralic)
uig     # Uyghur (Turkic)
ukr     # Ukrainian (Slavic)
urd     # Urdu (Indo-Aryan)
uzb     # Uzbek (Turkic)
vec     # Venetian (Romance)
vep     # Veps (Finnic)
vie     # Vietnamese (Austroasiatic)
yor     # Yoruba (Niger-Congo)
zho     # Chinese (Sino-Tibetan)
