language,budget,auc,tpr_at_1pct,n_mod,n_hum
fr,5,0.910868,0.312000,500,500
fr,10,0.952940,0.364000,500,500
fr,15,0.966116,0.374000,500,500
fr,20,0.976044,0.582000,500,500
de,5,0.904060,0.258000,500,500
de,10,0.945436,0.318000,500,500
de,15,0.958860,0.362000,500,500
de,20,0.973068,0.622000,500,500
it,5,0.906760,0.326000,500,500
it,10,0.955956,0.424000,500,500
it,15,0.972608,0.452000,500,500
it,20,0.977970,0.530000,500,500
es,5,0.904976,0.322000,500,500
es,10,0.952740,0.452000,500,500
es,15,0.968356,0.512000,500,500
es,20,0.975916,0.580000,500,500
pt,5,0.912712,0.320000,500,500
pt,10,0.952516,0.362000,500,500
pt,15,0.962500,0.386000,500,500
pt,20,0.976512,0.538000,500,500
pl,5,0.889004,0.256000,500,500
pl,10,0.931112,0.356000,500,500
pl,15,0.955340,0.418000,500,500
pl,20,0.975068,0.526000,500,500
nl,5,0.913396,0.320000,500,500
nl,10,0.956160,0.436000,500,500
nl,15,0.971708,0.522000,500,500
nl,20,0.981788,0.612000,500,500
ru,5,0.901848,0.286000,500,500
ru,10,0.945156,0.364000,500,500
ru,15,0.962632,0.418000,500,500
ru,20,0.971312,0.576000,500,500
hi,5,0.898060,0.240000,500,500
hi,10,0.944684,0.330000,500,500
hi,15,0.960564,0.404000,500,500
hi,20,0.978352,0.644000,500,500
ko,5,0.899932,0.316000,500,500
ko,10,0.944260,0.434000,500,500
ko,15,0.962964,0.472000,500,500
ko,20,0.968420,0.460000,500,500
ja,5,0.907312,0.304000,500,500
ja,10,0.946380,0.438000,500,500
ja,15,0.962964,0.412000,500,500
ja,20,0.975062,0.498000,500,500
bn,5,0.892728,0.242000,500,500
bn,10,0.940848,0.426000,500,500
bn,15,0.960628,0.496000,500,500
bn,20,0.977904,0.604000,500,500
fa,5,0.906476,0.306000,500,500
fa,10,0.960592,0.434000,500,500
fa,15,0.973296,0.504000,500,500
fa,20,0.978852,0.664000,500,500
vi,5,0.909224,0.350000,500,500
vi,10,0.954528,0.554000,500,500
vi,15,0.969524,0.568000,500,500
vi,20,0.976272,0.626000,500,500
iw,5,0.906992,0.334000,500,500
iw,10,0.945672,0.382000,500,500
iw,15,0.965704,0.438000,500,500
iw,20,0.973504,0.578000,500,500
uk,5,0.900758,0.324000,500,500
uk,10,0.948204,0.462000,500,500
uk,15,0.969460,0.544000,500,500
uk,20,0.979336,0.542000,500,500
ta,5,0.885408,0.314000,500,500
ta,10,0.945376,0.476000,500,500
ta,15,0.966340,0.476608,342,342
ta,20,0.967284,0.504000,500,500
