language,cluster_id,distance_type,clustering_method
eng,3,genetic,Hierarchical (k=22)
spa,14,genetic,Hierarchical (k=22)
fra,14,genetic,Hierarchical (k=22)
deu,3,genetic,Hierarchical (k=22)
ita,14,genetic,Hierarchical (k=22)
por,14,genetic,Hierarchical (k=22)
rus,0,genetic,Hierarchical (k=22)
jpn,11,genetic,Hierarchical (k=22)
zho,2,genetic,Hierarchical (k=22)
ara,10,genetic,Hierarchical (k=22)
hin,1,genetic,Hierarchical (k=22)
kor,15,genetic,Hierarchical (k=22)
nld,3,genetic,Hierarchical (k=22)
pol,0,genetic,Hierarchical (k=22)
tur,8,genetic,Hierarchical (k=22)
vie,6,genetic,Hierarchical (k=22)
tha,12,genetic,Hierarchical (k=22)
swe,3,genetic,Hierarchical (k=22)
nor,3,genetic,Hierarchical (k=22)
dan,3,genetic,Hierarchical (k=22)
fin,4,genetic,Hierarchical (k=22)
hun,4,genetic,Hierarchical (k=22)
ces,0,genetic,Hierarchical (k=22)
slk,0,genetic,Hierarchical (k=22)
ron,14,genetic,Hierarchical (k=22)
bul,0,genetic,Hierarchical (k=22)
hrv,0,genetic,Hierarchical (k=22)
srp,0,genetic,Hierarchical (k=22)
slv,0,genetic,Hierarchical (k=22)
est,4,genetic,Hierarchical (k=22)
lav,0,genetic,Hierarchical (k=22)
lit,0,genetic,Hierarchical (k=22)
ell,21,genetic,Hierarchical (k=22)
heb,10,genetic,Hierarchical (k=22)
fas,1,genetic,Hierarchical (k=22)
urd,1,genetic,Hierarchical (k=22)
ben,1,genetic,Hierarchical (k=22)
tam,9,genetic,Hierarchical (k=22)
tel,20,genetic,Hierarchical (k=22)
kan,9,genetic,Hierarchical (k=22)
mal,9,genetic,Hierarchical (k=22)
guj,1,genetic,Hierarchical (k=22)
pan,1,genetic,Hierarchical (k=22)
mar,1,genetic,Hierarchical (k=22)
ori,1,genetic,Hierarchical (k=22)
asm,1,genetic,Hierarchical (k=22)
nep,1,genetic,Hierarchical (k=22)
sin,1,genetic,Hierarchical (k=22)
mya,2,genetic,Hierarchical (k=22)
khm,6,genetic,Hierarchical (k=22)
lao,12,genetic,Hierarchical (k=22)
mon,17,genetic,Hierarchical (k=22)
bod,2,genetic,Hierarchical (k=22)
uig,8,genetic,Hierarchical (k=22)
kaz,8,genetic,Hierarchical (k=22)
kir,8,genetic,Hierarchical (k=22)
uzb,8,genetic,Hierarchical (k=22)
tgk,1,genetic,Hierarchical (k=22)
aze,8,genetic,Hierarchical (k=22)
kat,19,genetic,Hierarchical (k=22)
hye,0,genetic,Hierarchical (k=22)
bel,0,genetic,Hierarchical (k=22)
ukr,0,genetic,Hierarchical (k=22)
ltz,3,genetic,Hierarchical (k=22)
mlt,10,genetic,Hierarchical (k=22)
isl,3,genetic,Hierarchical (k=22)
fao,3,genetic,Hierarchical (k=22)
gle,7,genetic,Hierarchical (k=22)
gla,7,genetic,Hierarchical (k=22)
cym,7,genetic,Hierarchical (k=22)
bre,7,genetic,Hierarchical (k=22)
eus,13,genetic,Hierarchical (k=22)
cat,14,genetic,Hierarchical (k=22)
glg,14,genetic,Hierarchical (k=22)
ast,14,genetic,Hierarchical (k=22)
mwl,14,genetic,Hierarchical (k=22)
vec,14,genetic,Hierarchical (k=22)
lij,14,genetic,Hierarchical (k=22)
pms,14,genetic,Hierarchical (k=22)
lmo,14,genetic,Hierarchical (k=22)
cos,14,genetic,Hierarchical (k=22)
srd,14,genetic,Hierarchical (k=22)
scn,14,genetic,Hierarchical (k=22)
nap,14,genetic,Hierarchical (k=22)
lad,14,genetic,Hierarchical (k=22)
arg,14,genetic,Hierarchical (k=22)
ext,14,genetic,Hierarchical (k=22)
mdf,4,genetic,Hierarchical (k=22)
myv,4,genetic,Hierarchical (k=22)
kpv,4,genetic,Hierarchical (k=22)
udm,4,genetic,Hierarchical (k=22)
krl,4,genetic,Hierarchical (k=22)
vep,4,genetic,Hierarchical (k=22)
izh,4,genetic,Hierarchical (k=22)
liv,4,genetic,Hierarchical (k=22)
sme,4,genetic,Hierarchical (k=22)
smn,4,genetic,Hierarchical (k=22)
sms,4,genetic,Hierarchical (k=22)
smj,4,genetic,Hierarchical (k=22)
sma,4,genetic,Hierarchical (k=22)
afr,3,genetic,Hierarchical (k=22)
swa,5,genetic,Hierarchical (k=22)
hau,18,genetic,Hierarchical (k=22)
yor,5,genetic,Hierarchical (k=22)
ibo,5,genetic,Hierarchical (k=22)
amh,10,genetic,Hierarchical (k=22)
som,16,genetic,Hierarchical (k=22)
orm,16,genetic,Hierarchical (k=22)
