Unsupported Language,Supported Language,Percentage,Common Words,Total Words,Unsupported Total
IT,ALL.TXT,42.76,148956,348318,274457
IT,FR.TXT,60.17,129904,215891,274457
IT,EN.TXT,61.79,144100,233209,274457
IT,DE.TXT,56.06,97782,174413,274457
ES,ALL.TXT,40.94,142611,348318,285376
ES,FR.TXT,57.9,124997,215891,285376
ES,EN.TXT,59.54,138843,233209,285376
ES,DE.TXT,53.26,92895,174413,285376
PT,ALL.TXT,41.81,145624,348318,282517
PT,FR.TXT,58.31,125884,215891,282517
PT,EN.TXT,60.91,142058,233209,282517
PT,DE.TXT,53.86,93938,174413,282517
