target_language,optimization_type,strategy,best_languages,best_clusters,score,num_languages,language_selection_by_cluster
es,simple,max_distance,"['myv', 'izh', 'uig', 'krl', 'uzb', 'smn', 'smj', 'aze', 'sme', 'kir', 'tur', 'sms', 'kaz', 'hun', 'sma', 'mdf', 'liv', 'est', 'fin', 'udm', 'vep', 'kpv']","[4, 8]",1.0,22,
es,simple,min_distance,"['ell', 'lij', 'srd', 'arg', 'glg', 'ext', 'fra', 'por', 'lad', 'mwl', 'ron', 'vec', 'cat', 'nap', 'ast', 'pms', 'scn', 'ita', 'cos', 'lmo']","[14, 21]",0.606475,20,
es,simple,diversity,"['myv', 'izh', 'lij', 'srd', 'arg', 'krl', 'glg', 'ext', 'smn', 'smj', 'fra', 'por', 'sme', 'lad', 'mwl', 'ron', 'cat', 'sms', 'vec', 'hun', 'sma', 'nap', 'ast', 'mdf', 'pms', 'scn', 'liv', 'est', 'ita', 'fin', 'cos', 'udm', 'vep', 'kpv', 'lmo']","[4, 14]",0.606461592040866,35,
es,simple,gp_learning,"['myv', 'izh', 'lij', 'srd', 'arg', 'krl', 'glg', 'ext', 'smn', 'smj', 'fra', 'por', 'sme', 'lad', 'mwl', 'ron', 'cat', 'sms', 'vec', 'hun', 'sma', 'nap', 'ast', 'mdf', 'pms', 'scn', 'liv', 'est', 'ita', 'fin', 'cos', 'udm', 'vep', 'kpv', 'lmo']","[4, 14]",5.07255414119899,35,
es,simple,winner,"['myv', 'izh', 'lij', 'srd', 'arg', 'krl', 'glg', 'ext', 'smn', 'smj', 'fra', 'por', 'sme', 'lad', 'mwl', 'ron', 'cat', 'sms', 'vec', 'hun', 'sma', 'nap', 'ast', 'mdf', 'pms', 'scn', 'liv', 'est', 'ita', 'fin', 'cos', 'udm', 'vep', 'kpv', 'lmo']","[4, 14]",5.07255414119899,35,
vi,simple,max_distance,"['nap', 'scn', 'ext', 'sms', 'cat', 'arg', 'sme', 'spa', 'ron', 'lij', 'hun', 'liv', 'smn', 'pms', 'udm', 'fra', 'ita', 'cos', 'est', 'glg', 'kpv', 'srd', 'mwl', 'lmo', 'ast', 'vec', 'smj', 'izh', 'fin', 'mdf', 'lad', 'por', 'myv', 'vep', 'sma', 'krl']","[4, 14]",1.0,36,
vi,simple,min_distance,['khm'],[6],0.26770000000000005,1,
vi,simple,diversity,"['khm', 'tel']","[6, 20]",0.18739000000000003,2,
vi,simple,gp_learning,"['nap', 'scn', 'ext', 'sms', 'cat', 'arg', 'sme', 'spa', 'ron', 'lij', 'hun', 'liv', 'smn', 'pms', 'udm', 'fra', 'ita', 'cos', 'est', 'glg', 'kpv', 'srd', 'mwl', 'lmo', 'ast', 'vec', 'smj', 'izh', 'fin', 'mdf', 'lad', 'por', 'myv', 'vep', 'sma', 'krl']","[4, 14]",5.25,36,
vi,simple,winner,"['nap', 'scn', 'ext', 'sms', 'cat', 'arg', 'sme', 'spa', 'ron', 'lij', 'hun', 'liv', 'smn', 'pms', 'udm', 'fra', 'ita', 'cos', 'est', 'glg', 'kpv', 'srd', 'mwl', 'lmo', 'ast', 'vec', 'smj', 'izh', 'fin', 'mdf', 'lad', 'por', 'myv', 'vep', 'sma', 'krl']","[4, 14]",5.25,36,
fa,simple,max_distance,"['smj', 'uig', 'sms', 'vep', 'izh', 'krl', 'fin', 'tur', 'smn', 'aze', 'udm', 'hun', 'est', 'kpv', 'sme', 'uzb', 'kaz', 'liv', 'myv', 'mdf', 'kir', 'sma']","[4, 8]",1.0,22,
fa,simple,min_distance,"['asm', 'pan', 'urd', 'guj', 'tgk', 'nep', 'hin', 'ben', 'ori', 'mar', 'sin']",[1],0.24981818181818194,11,
fa,simple,diversity,"['asm', 'pan', 'kaz', 'urd', 'guj', 'tgk', 'uig', 'nep', 'hin', 'ben', 'ori', 'mar', 'tur', 'sin', 'uzb', 'aze', 'kir']","[1, 8]",0.3339984036219187,17,
fa,simple,gp_learning,"['smj', 'lmo', 'sms', 'cat', 'arg', 'nap', 'vep', 'ext', 'izh', 'por', 'krl', 'lij', 'pms', 'fin', 'mwl', 'smn', 'cos', 'ita', 'srd', 'udm', 'spa', 'hun', 'est', 'kpv', 'lad', 'ron', 'sme', 'fra', 'scn', 'ast', 'liv', 'myv', 'glg', 'mdf', 'vec', 'sma']","[4, 14]",5.240064673849917,36,
