target_language,hierarchical,simple
bn,"['hin', 'fas', 'zho', 'mya']","['ori', 'asm', 'sin', 'tgk', 'amh', 'urd', 'fas', 'mlt', 'pan', 'heb', 'mar', 'guj', 'ara', 'hin', 'nep']"
de,"['eng', 'nld', 'ara', 'heb']","['dan', 'fao', 'kir', 'ltz', 'kaz', 'nor', 'uig', 'tur', 'swe', 'uzb', 'aze', 'nld', 'eng', 'isl', 'afr']"
es,"['fin', 'hun', 'fra', 'ita']","['myv', 'izh', 'lij', 'srd', 'arg', 'krl', 'glg', 'ext', 'smn', 'smj', 'fra', 'por', 'sme', 'lad', 'mwl', 'ron', 'cat', 'sms', 'vec', 'hun', 'sma', 'nap', 'ast', 'mdf', 'pms', 'scn', 'liv', 'est', 'ita', 'fin', 'cos', 'udm', 'vep', 'kpv', 'lmo']"
fa,"['hin', 'urd', 'zho', 'mya']","['asm', 'pan', 'kaz', 'urd', 'guj', 'tgk', 'uig', 'nep', 'hin', 'ben', 'ori', 'mar', 'tur', 'sin', 'uzb', 'aze', 'kir']"
fr,"['fin', 'hun', 'spa', 'ita']","['mwl', 'udm', 'ron', 'myv', 'arg', 'vec', 'cos', 'scn', 'lad', 'mdf', 'sma', 'smj', 'krl', 'por', 'ita', 'spa', 'est', 'srd', 'sme', 'izh', 'vep', 'hun', 'sms', 'smn', 'nap', 'fin', 'pms', 'kpv', 'lij', 'ext', 'lmo', 'glg', 'ast', 'cat', 'liv']"
hi,"['fas', 'urd', 'tel']","['fas', 'urd', 'uig', 'sin', 'mar', 'ben', 'tgk', 'guj', 'nep', 'tur', 'kir', 'uzb', 'aze', 'ori', 'pan', 'kaz', 'asm']"
it,"['fin', 'hun', 'spa', 'fra']","['kpv', 'smn', 'por', 'sms', 'ron', 'lmo', 'vep', 'fin', 'fra', 'srd', 'ext', 'liv', 'sma', 'cos', 'mwl', 'smj', 'scn', 'arg', 'krl', 'nap', 'lad', 'izh', 'lij', 'sme', 'mdf', 'udm', 'glg', 'hun', 'myv', 'est', 'vec', 'ast', 'cat', 'spa', 'pms']"
iw,"['tam', 'kan', 'ara', 'mlt']","['amh', 'mlt', 'kan', 'mal', 'tam', 'ara']"
ja,"['fin', 'hun', 'spa', 'fra']","['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']"
ko,"['fin', 'hun', 'spa', 'fra']","['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']"
nl,"['eng', 'deu', 'ara', 'heb']","['fao', 'afr', 'uzb', 'kaz', 'swe', 'nor', 'deu', 'dan', 'isl', 'aze', 'uig', 'eng', 'kir', 'tur', 'ltz']"
pl,"['rus', 'ces', 'zho', 'mya']","['rus', 'uig', 'srp', 'slk', 'ukr', 'slv', 'hrv', 'bul', 'lav', 'kir', 'tur', 'kaz', 'aze', 'lit', 'uzb', 'bel', 'hye', 'ces']"
pt,"['fin', 'hun', 'spa', 'fra']","['mwl', 'hun', 'fin', 'spa', 'cos', 'krl', 'ext', 'vep', 'lij', 'kpv', 'liv', 'smn', 'izh', 'myv', 'smj', 'ron', 'sma', 'sms', 'mdf', 'lad', 'cat', 'ita', 'glg', 'arg', 'sme', 'vec', 'ast', 'udm', 'est', 'scn', 'pms', 'fra', 'nap', 'srd', 'lmo']"
ru,"['pol', 'ces', 'vie', 'khm']","['tam', 'slv', 'mal', 'lit', 'bel', 'kan', 'slk', 'lav', 'pol', 'bul', 'ces', 'ukr', 'hye', 'hrv', 'srp']"
ta,"['kan', 'mal', 'ara', 'heb']","['ell', 'mal', 'kan']"
uk,"['rus', 'pol', 'zho', 'mya']","['srp', 'slv', 'ces', 'bul', 'uig', 'lav', 'lit', 'kaz', 'rus', 'kir', 'slk', 'uzb', 'tur', 'aze', 'bel', 'pol', 'hrv', 'hye']"
vi,"['khm', 'tel']","['khm', 'tel']"
