target_language,hierarchical,simple
bn,"['hin', 'fas', 'zho', 'mya']","['liv', 'ita', 'ast', 'myv', 'fra', 'srd', 'por', 'spa', 'kpv', 'smj', 'cos', 'arg', 'mwl', 'sme', 'ext', 'vec', 'lij', 'nap', 'scn', 'izh', 'cat', 'hun', 'sms', 'sma', 'krl', 'lmo', 'fin', 'glg', 'smn', 'udm', 'lad', 'mdf', 'pms', 'ron', 'est', 'vep']"
de,"['hin', 'fas', 'eng', 'nld']","['sms', 'pms', 'hun', 'nap', 'sma', 'liv', 'scn', 'ita', 'vec', 'lad', 'arg', 'ext', 'myv', 'ron', 'ast', 'smj', 'por', 'est', 'kpv', 'izh', 'spa', 'smn', 'krl', 'fin', 'glg', 'vep', 'udm', 'lmo', 'sme', 'lij', 'srd', 'fra', 'cat', 'mdf', 'cos', 'mwl']"
es,"['fin', 'hun', 'fra', 'ita']","['myv', 'izh', 'lij', 'srd', 'arg', 'krl', 'glg', 'ext', 'smn', 'smj', 'fra', 'por', 'sme', 'lad', 'mwl', 'ron', 'cat', 'sms', 'vec', 'hun', 'sma', 'nap', 'ast', 'mdf', 'pms', 'scn', 'liv', 'est', 'ita', 'fin', 'cos', 'udm', 'vep', 'kpv', 'lmo']"
fa,"['hin', 'urd', 'zho', 'mya']","['smj', 'lmo', 'sms', 'cat', 'arg', 'nap', 'vep', 'ext', 'izh', 'por', 'krl', 'lij', 'pms', 'fin', 'mwl', 'smn', 'cos', 'ita', 'srd', 'udm', 'spa', 'hun', 'est', 'kpv', 'lad', 'ron', 'sme', 'fra', 'scn', 'ast', 'liv', 'myv', 'glg', 'mdf', 'vec', 'sma']"
fr,"['fin', 'hun', 'spa', 'ita']","['mwl', 'udm', 'ron', 'myv', 'arg', 'vec', 'cos', 'scn', 'lad', 'mdf', 'sma', 'smj', 'krl', 'por', 'ita', 'spa', 'est', 'srd', 'sme', 'izh', 'vep', 'hun', 'sms', 'smn', 'nap', 'fin', 'pms', 'kpv', 'lij', 'ext', 'lmo', 'glg', 'ast', 'cat', 'liv']"
hi,"['fas', 'urd', 'zho', 'mya']","['myv', 'vep', 'cat', 'mwl', 'vec', 'fin', 'smn', 'ron', 'lad', 'scn', 'por', 'sme', 'ita', 'krl', 'udm', 'srd', 'arg', 'pms', 'glg', 'spa', 'izh', 'est', 'sms', 'ast', 'sma', 'ext', 'nap', 'hun', 'fra', 'lij', 'lmo', 'mdf', 'cos', 'smj', 'liv', 'kpv']"
it,"['fin', 'hun', 'spa', 'fra']","['kpv', 'smn', 'por', 'sms', 'ron', 'lmo', 'vep', 'fin', 'fra', 'srd', 'ext', 'liv', 'sma', 'cos', 'mwl', 'smj', 'scn', 'arg', 'krl', 'nap', 'lad', 'izh', 'lij', 'sme', 'mdf', 'udm', 'glg', 'hun', 'myv', 'est', 'vec', 'ast', 'cat', 'spa', 'pms']"
iw,"['fin', 'hun', 'spa', 'fra']","['cos', 'fra', 'est', 'kpv', 'pms', 'scn', 'mdf', 'ron', 'ast', 'lmo', 'ext', 'myv', 'udm', 'izh', 'smn', 'krl', 'srd', 'sme', 'hun', 'ita', 'nap', 'spa', 'glg', 'liv', 'por', 'cat', 'vec', 'lij', 'arg', 'mwl', 'lad', 'fin', 'smj', 'sms', 'vep', 'sma']"
ja,"['fin', 'hun', 'spa', 'fra']","['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']"
ko,"['fin', 'hun', 'spa', 'fra']","['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']"
