target_language,best_languages,score
es,"['myv', 'izh', 'lij', 'srd', 'arg', 'krl', 'glg', 'ext', 'smn', 'smj', 'fra', 'por', 'sme', 'lad', 'mwl', 'ron', 'cat', 'sms', 'vec', 'hun', 'sma', 'nap', 'ast', 'mdf', 'pms', 'scn', 'liv', 'est', 'ita', 'fin', 'cos', 'udm', 'vep', 'kpv', 'lmo']",5.07255414119899
vi,"['nap', 'scn', 'ext', 'sms', 'cat', 'arg', 'sme', 'spa', 'ron', 'lij', 'hun', 'liv', 'smn', 'pms', 'udm', 'fra', 'ita', 'cos', 'est', 'glg', 'kpv', 'srd', 'mwl', 'lmo', 'ast', 'vec', 'smj', 'izh', 'fin', 'mdf', 'lad', 'por', 'myv', 'vep', 'sma', 'krl']",5.25
fa,"['smj', 'lmo', 'sms', 'cat', 'arg', 'nap', 'vep', 'ext', 'izh', 'por', 'krl', 'lij', 'pms', 'fin', 'mwl', 'smn', 'cos', 'ita', 'srd', 'udm', 'spa', 'hun', 'est', 'kpv', 'lad', 'ron', 'sme', 'fra', 'scn', 'ast', 'liv', 'myv', 'glg', 'mdf', 'vec', 'sma']",5.240064673849917
ko,"['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']",5.25
hi,"['myv', 'vep', 'cat', 'mwl', 'vec', 'fin', 'smn', 'ron', 'lad', 'scn', 'por', 'sme', 'ita', 'krl', 'udm', 'srd', 'arg', 'pms', 'glg', 'spa', 'izh', 'est', 'sms', 'ast', 'sma', 'ext', 'nap', 'hun', 'fra', 'lij', 'lmo', 'mdf', 'cos', 'smj', 'liv', 'kpv']",5.240804573271273
fr,"['mwl', 'udm', 'ron', 'myv', 'arg', 'vec', 'cos', 'scn', 'lad', 'mdf', 'sma', 'smj', 'krl', 'por', 'ita', 'spa', 'est', 'srd', 'sme', 'izh', 'vep', 'hun', 'sms', 'smn', 'nap', 'fin', 'pms', 'kpv', 'lij', 'ext', 'lmo', 'glg', 'ast', 'cat', 'liv']",5.07036781843777
iw,"['cos', 'fra', 'est', 'kpv', 'pms', 'scn', 'mdf', 'ron', 'ast', 'lmo', 'ext', 'myv', 'udm', 'izh', 'smn', 'krl', 'srd', 'sme', 'hun', 'ita', 'nap', 'spa', 'glg', 'liv', 'por', 'cat', 'vec', 'lij', 'arg', 'mwl', 'lad', 'fin', 'smj', 'sms', 'vep', 'sma']",5.25
it,"['kpv', 'smn', 'por', 'sms', 'ron', 'lmo', 'vep', 'fin', 'fra', 'srd', 'ext', 'liv', 'sma', 'cos', 'mwl', 'smj', 'scn', 'arg', 'krl', 'nap', 'lad', 'izh', 'lij', 'sme', 'mdf', 'udm', 'glg', 'hun', 'myv', 'est', 'vec', 'ast', 'cat', 'spa', 'pms']",5.066012889085588
pt,"['mwl', 'hun', 'fin', 'spa', 'cos', 'krl', 'ext', 'vep', 'lij', 'kpv', 'liv', 'smn', 'izh', 'myv', 'smj', 'ron', 'sma', 'sms', 'mdf', 'lad', 'cat', 'ita', 'glg', 'arg', 'sme', 'vec', 'ast', 'udm', 'est', 'scn', 'pms', 'fra', 'nap', 'srd', 'lmo']",5.069578349442915
ta,"['lad', 'lij', 'udm', 'fra', 'smj', 'sme', 'smn', 'spa', 'cat', 'mdf', 'cos', 'krl', 'ast', 'myv', 'scn', 'kpv', 'arg', 'pms', 'sma', 'por', 'izh', 'est', 'ext', 'ita', 'lmo', 'ron', 'nap', 'mwl', 'hun', 'glg', 'liv', 'sms', 'srd', 'vep', 'vec', 'fin']",5.25
de,"['sms', 'pms', 'hun', 'nap', 'sma', 'liv', 'scn', 'ita', 'vec', 'lad', 'arg', 'ext', 'myv', 'ron', 'ast', 'smj', 'por', 'est', 'kpv', 'izh', 'spa', 'smn', 'krl', 'fin', 'glg', 'vep', 'udm', 'lmo', 'sme', 'lij', 'srd', 'fra', 'cat', 'mdf', 'cos', 'mwl']",5.240064673849917
uk,"['scn', 'myv', 'smj', 'nap', 'por', 'ext', 'vep', 'sma', 'lad', 'fra', 'kpv', 'krl', 'cos', 'liv', 'pms', 'udm', 'cat', 'sms', 'fin', 'spa', 'est', 'vec', 'mdf', 'izh', 'ast', 'hun', 'smn', 'glg', 'mwl', 'ron', 'lij', 'arg', 'sme', 'ita', 'srd', 'lmo']",5.239113832787022
pl,"['liv', 'glg', 'smj', 'lij', 'est', 'scn', 'por', 'udm', 'kpv', 'krl', 'vep', 'cat', 'lmo', 'mdf', 'arg', 'fra', 'cos', 'sma', 'vec', 'lad', 'ext', 'spa', 'ron', 'nap', 'izh', 'smn', 'hun', 'sme', 'srd', 'mwl', 'ita', 'pms', 'sms', 'fin', 'myv', 'ast']",5.239113832787022
ru,"['myv', 'arg', 'scn', 'smj', 'ron', 'ast', 'lij', 'sma', 'vep', 'est', 'lmo', 'ext', 'izh', 'mdf', 'fra', 'hun', 'krl', 'sme', 'srd', 'fin', 'lad', 'smn', 'mwl', 'cos', 'cat', 'nap', 'ita', 'glg', 'pms', 'spa', 'udm', 'liv', 'sms', 'por', 'kpv', 'vec']",5.237819711399428
ja,"['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']",5.25
