target_language,best_languages,score
bn,"['fin', 'hun', 'tur', 'uig']",1.0
ja,"['fin', 'hun', 'spa', 'fra']",1.0
nl,"['fin', 'hun', 'tur', 'uig']",1.0
ta,"['fin', 'hun', 'spa', 'fra']",1.0
pl,"['fin', 'hun', 'tur', 'uig']",1.0
ru,"['fin', 'hun', 'tur', 'uig']",1.0
uk,"['fin', 'hun', 'tur', 'uig']",1.0
de,"['fin', 'hun', 'tur', 'uig']",1.0
it,"['fin', 'hun', 'tur', 'uig']",1.0
pt,"['fin', 'hun', 'tur', 'uig']",1.0
fr,"['fin', 'hun', 'tur', 'uig']",1.0
iw,"['fin', 'hun', 'spa', 'fra']",1.0
ko,"['fin', 'hun', 'spa', 'fra']",1.0
hi,"['fin', 'hun', 'tur', 'uig']",1.0
fa,"['fin', 'hun', 'tur', 'uig']",1.0
vi,"['fin', 'hun', 'spa', 'fra']",1.0
es,"['fin', 'hun', 'tur', 'uig']",1.0
