target_language,best_languages,score
es,"['ell', 'lij', 'srd', 'arg', 'glg', 'ext', 'fra', 'por', 'lad', 'mwl', 'ron', 'vec', 'cat', 'nap', 'ast', 'pms', 'scn', 'ita', 'cos', 'lmo']",0.606475
vi,['khm'],0.26770000000000005
fa,"['asm', 'pan', 'urd', 'guj', 'tgk', 'nep', 'hin', 'ben', 'ori', 'mar', 'sin']",0.24981818181818194
ko,"['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']",0.0
hi,"['fas', 'urd', 'sin', 'mar', 'ben', 'tgk', 'guj', 'nep', 'ori', 'pan', 'asm']",0.3685999999999999
fr,"['mwl', 'ron', 'arg', 'vec', 'cos', 'scn', 'lad', 'por', 'spa', 'ita', 'srd', 'nap', 'pms', 'lij', 'ext', 'lmo', 'glg', 'ast', 'cat']",0.5496631578947369
iw,"['amh', 'mlt', 'ara']",0.3806333333333334
it,"['por', 'ron', 'lmo', 'fra', 'srd', 'ext', 'cos', 'mwl', 'scn', 'arg', 'nap', 'lad', 'lij', 'glg', 'vec', 'ast', 'cat', 'spa', 'pms']",0.5501052631578947
pt,"['mwl', 'spa', 'cos', 'ext', 'lij', 'ron', 'lad', 'cat', 'ita', 'glg', 'arg', 'vec', 'ast', 'scn', 'pms', 'fra', 'nap', 'srd', 'lmo']",0.6667736842105263
ta,"['mal', 'kan']",0.5151
de,"['dan', 'fao', 'ltz', 'nor', 'swe', 'nld', 'eng', 'isl', 'afr']",0.45620000000000005
uk,"['pol', 'lav', 'lit', 'srp', 'hrv', 'slv', 'ces', 'bul', 'rus', 'slk', 'hye', 'bel']",0.40926666666666656
pl,"['lit', 'slv', 'hrv', 'bel', 'lav', 'hye', 'bul', 'ces', 'rus', 'srp', 'slk', 'ukr']",0.39754999999999996
ru,"['slv', 'lit', 'bel', 'slk', 'lav', 'pol', 'bul', 'ces', 'ukr', 'hye', 'hrv', 'srp']",0.47382499999999994
ja,"['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']",0.0
nl,"['fao', 'afr', 'swe', 'nor', 'deu', 'dan', 'isl', 'eng', 'ltz']",0.3508444444444445
bn,"['ori', 'asm', 'sin', 'tgk', 'urd', 'fas', 'pan', 'mar', 'guj', 'hin', 'nep']",0.33602727272727273
