target_language,optimization_type,num_languages,score
bn,hierarchical,3.6,1.0
bn,simple,24.0,5.2408
de,hierarchical,3.6,1.0
de,simple,23.6,5.2401
es,hierarchical,3.6,1.0
es,simple,29.4,5.0726
fa,hierarchical,3.6,1.0
fa,simple,24.4,5.2401
fr,hierarchical,3.6,1.0
fr,simple,29.2,5.0704
hi,hierarchical,3.4,1.0
hi,simple,24.4,5.2408
it,hierarchical,3.6,1.0
it,simple,29.2,5.066
iw,hierarchical,3.6,1.0
iw,simple,23.4,5.25
ja,hierarchical,4.0,1.0
ja,simple,36.0,5.25
ko,hierarchical,4.0,1.0
ko,simple,36.0,5.25
nl,hierarchical,3.6,1.0
nl,simple,23.6,5.2419
pl,hierarchical,3.6,1.0
pl,simple,24.8,5.2391
pt,hierarchical,3.6,1.0
pt,simple,29.2,5.0696
ru,hierarchical,3.6,1.0
ru,simple,24.2,5.2378
ta,hierarchical,3.6,1.0
ta,simple,22.6,5.25
uk,hierarchical,3.6,1.0
uk,simple,24.8,5.2391
vi,hierarchical,2.8,1.0
vi,simple,22.2,5.25
