target_language,hierarchical,simple
bn,"['fin', 'hun', 'tur', 'uig']","['liv', 'ita', 'ast', 'myv', 'fra', 'srd', 'por', 'spa', 'kpv', 'smj', 'cos', 'arg', 'mwl', 'sme', 'ext', 'vec', 'lij', 'nap', 'scn', 'izh', 'cat', 'hun', 'sms', 'sma', 'krl', 'lmo', 'fin', 'glg', 'smn', 'udm', 'lad', 'mdf', 'pms', 'ron', 'est', 'vep']"
de,"['fin', 'hun', 'tur', 'uig']","['sms', 'pms', 'hun', 'nap', 'sma', 'liv', 'scn', 'ita', 'vec', 'lad', 'arg', 'ext', 'myv', 'ron', 'ast', 'smj', 'por', 'est', 'kpv', 'izh', 'spa', 'smn', 'krl', 'fin', 'glg', 'vep', 'udm', 'lmo', 'sme', 'lij', 'srd', 'fra', 'cat', 'mdf', 'cos', 'mwl']"
es,"['fin', 'hun', 'tur', 'uig']","['myv', 'izh', 'lij', 'srd', 'arg', 'krl', 'glg', 'ext', 'smn', 'smj', 'fra', 'por', 'sme', 'lad', 'mwl', 'ron', 'cat', 'sms', 'vec', 'hun', 'sma', 'nap', 'ast', 'mdf', 'pms', 'scn', 'liv', 'est', 'ita', 'fin', 'cos', 'udm', 'vep', 'kpv', 'lmo']"
fa,"['fin', 'hun', 'tur', 'uig']","['smj', 'lmo', 'sms', 'cat', 'arg', 'nap', 'vep', 'ext', 'izh', 'por', 'krl', 'lij', 'pms', 'fin', 'mwl', 'smn', 'cos', 'ita', 'srd', 'udm', 'spa', 'hun', 'est', 'kpv', 'lad', 'ron', 'sme', 'fra', 'scn', 'ast', 'liv', 'myv', 'glg', 'mdf', 'vec', 'sma']"
fr,"['fin', 'hun', 'tur', 'uig']","['mwl', 'udm', 'ron', 'myv', 'arg', 'vec', 'cos', 'scn', 'lad', 'mdf', 'sma', 'smj', 'krl', 'por', 'ita', 'spa', 'est', 'srd', 'sme', 'izh', 'vep', 'hun', 'sms', 'smn', 'nap', 'fin', 'pms', 'kpv', 'lij', 'ext', 'lmo', 'glg', 'ast', 'cat', 'liv']"
hi,"['fin', 'hun', 'tur', 'uig']","['myv', 'vep', 'cat', 'mwl', 'vec', 'fin', 'smn', 'ron', 'lad', 'scn', 'por', 'sme', 'ita', 'krl', 'udm', 'srd', 'arg', 'pms', 'glg', 'spa', 'izh', 'est', 'sms', 'ast', 'sma', 'ext', 'nap', 'hun', 'fra', 'lij', 'lmo', 'mdf', 'cos', 'smj', 'liv', 'kpv']"
it,"['fin', 'hun', 'tur', 'uig']","['kpv', 'smn', 'por', 'sms', 'ron', 'lmo', 'vep', 'fin', 'fra', 'srd', 'ext', 'liv', 'sma', 'cos', 'mwl', 'smj', 'scn', 'arg', 'krl', 'nap', 'lad', 'izh', 'lij', 'sme', 'mdf', 'udm', 'glg', 'hun', 'myv', 'est', 'vec', 'ast', 'cat', 'spa', 'pms']"
iw,"['fin', 'hun', 'spa', 'fra']","['cos', 'fra', 'est', 'kpv', 'pms', 'scn', 'mdf', 'ron', 'ast', 'lmo', 'ext', 'myv', 'udm', 'izh', 'smn', 'krl', 'srd', 'sme', 'hun', 'ita', 'nap', 'spa', 'glg', 'liv', 'por', 'cat', 'vec', 'lij', 'arg', 'mwl', 'lad', 'fin', 'smj', 'sms', 'vep', 'sma']"
ja,"['fin', 'hun', 'spa', 'fra']","['por', 'fin', 'mwl', 'pms', 'scn', 'lad', 'lij', 'liv', 'ext', 'ast', 'myv', 'cat', 'krl', 'vec', 'srd', 'ron', 'sme', 'smj', 'cos', 'kpv', 'arg', 'lmo', 'nap', 'est', 'ita', 'spa', 'mdf', 'vep', 'sma', 'sms', 'izh', 'fra', 'udm', 'hun', 'glg', 'smn']"
ko,"['fin', 'hun', 'spa', 'fra']","['krl', 'por', 'spa', 'scn', 'vep', 'sma', 'myv', 'cat', 'kpv', 'hun', 'est', 'ext', 'vec', 'liv', 'glg', 'ron', 'lmo', 'fin', 'ast', 'srd', 'udm', 'mdf', 'mwl', 'lad', 'arg', 'smn', 'cos', 'sme', 'izh', 'nap', 'pms', 'lij', 'sms', 'ita', 'fra', 'smj']"
nl,"['fin', 'hun', 'tur', 'uig']","['ita', 'cos', 'sms', 'nap', 'vec', 'smj', 'pms', 'ast', 'lad', 'fin', 'hun', 'mwl', 'arg', 'smn', 'izh', 'vep', 'est', 'lij', 'cat', 'ext', 'spa', 'liv', 'udm', 'glg', 'lmo', 'ron', 'kpv', 'srd', 'scn', 'sma', 'fra', 'mdf', 'krl', 'por', 'myv', 'sme']"
pl,"['fin', 'hun', 'tur', 'uig']","['liv', 'glg', 'smj', 'lij', 'est', 'scn', 'por', 'udm', 'kpv', 'krl', 'vep', 'cat', 'lmo', 'mdf', 'arg', 'fra', 'cos', 'sma', 'vec', 'lad', 'ext', 'spa', 'ron', 'nap', 'izh', 'smn', 'hun', 'sme', 'srd', 'mwl', 'ita', 'pms', 'sms', 'fin', 'myv', 'ast']"
pt,"['fin', 'hun', 'tur', 'uig']","['mwl', 'hun', 'fin', 'spa', 'cos', 'krl', 'ext', 'vep', 'lij', 'kpv', 'liv', 'smn', 'izh', 'myv', 'smj', 'ron', 'sma', 'sms', 'mdf', 'lad', 'cat', 'ita', 'glg', 'arg', 'sme', 'vec', 'ast', 'udm', 'est', 'scn', 'pms', 'fra', 'nap', 'srd', 'lmo']"
ru,"['fin', 'hun', 'tur', 'uig']","['myv', 'arg', 'scn', 'smj', 'ron', 'ast', 'lij', 'sma', 'vep', 'est', 'lmo', 'ext', 'izh', 'mdf', 'fra', 'hun', 'krl', 'sme', 'srd', 'fin', 'lad', 'smn', 'mwl', 'cos', 'cat', 'nap', 'ita', 'glg', 'pms', 'spa', 'udm', 'liv', 'sms', 'por', 'kpv', 'vec']"
ta,"['fin', 'hun', 'spa', 'fra']","['lad', 'lij', 'udm', 'fra', 'smj', 'sme', 'smn', 'spa', 'cat', 'mdf', 'cos', 'krl', 'ast', 'myv', 'scn', 'kpv', 'arg', 'pms', 'sma', 'por', 'izh', 'est', 'ext', 'ita', 'lmo', 'ron', 'nap', 'mwl', 'hun', 'glg', 'liv', 'sms', 'srd', 'vep', 'vec', 'fin']"
uk,"['fin', 'hun', 'tur', 'uig']","['scn', 'myv', 'smj', 'nap', 'por', 'ext', 'vep', 'sma', 'lad', 'fra', 'kpv', 'krl', 'cos', 'liv', 'pms', 'udm', 'cat', 'sms', 'fin', 'spa', 'est', 'vec', 'mdf', 'izh', 'ast', 'hun', 'smn', 'glg', 'mwl', 'ron', 'lij', 'arg', 'sme', 'ita', 'srd', 'lmo']"
vi,"['fin', 'hun', 'spa', 'fra']","['nap', 'scn', 'ext', 'sms', 'cat', 'arg', 'sme', 'spa', 'ron', 'lij', 'hun', 'liv', 'smn', 'pms', 'udm', 'fra', 'ita', 'cos', 'est', 'glg', 'kpv', 'srd', 'mwl', 'lmo', 'ast', 'vec', 'smj', 'izh', 'fin', 'mdf', 'lad', 'por', 'myv', 'vep', 'sma', 'krl']"
