,num_languages,num_languages,score,score
optimization_type,hierarchical,simple,hierarchical,simple
target_language,,,,
bn,4,36,1.0,5.240804573271273
de,4,36,1.0,5.240064673849917
es,4,35,1.0,5.07255414119899
fa,4,36,1.0,5.240064673849917
fr,4,35,1.0,5.07036781843777
hi,4,36,1.0,5.240804573271273
it,4,35,1.0,5.066012889085588
iw,4,36,1.0,5.25
ja,4,36,1.0,5.25
ko,4,36,1.0,5.25
nl,4,36,1.0,5.2418880368761185
pl,4,36,1.0,5.239113832787022
pt,4,35,1.0,5.069578349442915
ru,4,36,1.0,5.237819711399428
ta,4,36,1.0,5.25
uk,4,36,1.0,5.239113832787022
vi,4,36,1.0,5.25
