budget,P,B,lang,resource_tier,status,n_verify_lang,naive_fpr_lang_pct,naive_fpr_lang_pct_low,naive_fpr_lang_pct_high,naive_fpr_lang_pct_actual,naive_fpr_lang_overall_pct,naive_fpr_lang_overall_pct_low,naive_fpr_lang_overall_pct_high,naive_fpr_lang_overall_pct_actual,fpr_at_global_tau_pct,fpr_at_global_tau_pct_low,fpr_at_global_tau_pct_high,fpr_at_global_tau_pct_actual,tau_lang,tau_lang_low,tau_lang_high,tau_lang_actual
fixed,33,20,fr,high,measured,250,25.2,25.2,25.2,25.2,26.4,26.4,26.4,26.4,0.8,0.8,0.8,0.8,4.267,4.267,4.267,4.267
fixed,33,20,de,high,measured,250,29.2,29.2,29.2,29.2,25.8,25.8,25.8,25.8,0.8,0.8,0.8,0.8,3.442,3.442,3.442,3.442
fixed,33,20,it,high,measured,250,34.8,34.8,34.8,34.8,28.8,28.8,28.8,28.8,1.2,1.2,1.2,1.2,3.456,3.456,3.456,3.456
fixed,33,20,es,high,measured,250,34.4,34.4,34.4,34.4,30.2,30.2,30.2,30.2,0.8,0.8,0.8,0.8,4.103,4.103,4.103,4.103
fixed,33,20,pt,high,measured,250,25.2,25.2,25.2,25.2,26.6,26.6,26.6,26.6,0.4,0.4,0.4,0.4,4.49,4.49,4.49,4.49
fixed,33,20,pl,medium,measured,250,26.0,26.0,26.0,26.0,28.2,28.2,28.2,28.2,2.4,2.4,2.4,2.4,3.877,3.877,3.877,3.877
fixed,33,20,nl,medium,measured,250,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0.4,0.4,0.4,0.4,3.687,3.687,3.687,3.687
fixed,33,20,ru,medium,measured,250,32.0,32.0,32.0,32.0,30.8,30.8,30.8,30.8,1.6,1.6,1.6,1.6,3.804,3.804,3.804,3.804
fixed,33,20,hi,medium,measured,250,29.2,29.2,29.2,29.2,28.0,28.0,28.0,28.0,0.8,0.8,0.8,0.8,3.972,3.972,3.972,3.972
fixed,33,20,ko,medium,measured,250,27.2,27.2,27.2,27.2,30.2,30.2,30.2,30.2,0.8,0.8,0.8,0.8,3.756,3.756,3.756,3.756
fixed,33,20,ja,medium,measured,250,34.0,34.0,34.0,34.0,31.6,31.6,31.6,31.6,0.8,0.8,0.8,0.8,3.712,3.712,3.712,3.712
fixed,33,20,bn,low,measured,250,27.2,27.2,27.2,27.2,27.6,27.6,27.6,27.6,1.2,1.2,1.2,1.2,3.772,3.772,3.772,3.772
fixed,33,20,fa,low,measured,250,26.4,26.4,26.4,26.4,29.6,29.6,29.6,29.6,1.2,1.2,1.2,1.2,3.694,3.694,3.694,3.694
fixed,33,20,vi,low,measured,250,32.4,32.4,32.4,32.4,29.8,29.8,29.8,29.8,1.6,1.6,1.6,1.6,3.49,3.49,3.49,3.49
fixed,33,20,iw,low,measured,250,28.8,28.8,28.8,28.8,27.4,27.4,27.4,27.4,1.6,1.6,1.6,1.6,3.61,3.61,3.61,3.61
fixed,33,20,uk,low,measured,250,30.4,30.4,30.4,30.4,28.4,28.4,28.4,28.4,2.0,2.0,2.0,2.0,3.904,3.904,3.904,3.904
fixed,33,20,ta,low,measured,250,28.4,28.4,28.4,28.4,29.4,29.4,29.4,29.4,0.8,0.8,0.8,0.8,4.015,4.015,4.015,4.015
fixed,66,20,fr,high,measured,250,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,0.4,0.4,0.4,0.4,3.749,3.749,3.749,3.749
fixed,66,20,de,high,measured,250,25.6,25.6,25.6,25.6,26.0,26.0,26.0,26.0,0.8,0.8,0.8,0.8,3.543,3.543,3.543,3.543
fixed,66,20,it,high,measured,250,28.0,28.0,28.0,28.0,26.2,26.2,26.2,26.2,1.2,1.2,1.2,1.2,3.508,3.508,3.508,3.508
fixed,66,20,es,high,measured,250,26.0,26.0,26.0,26.0,27.8,27.8,27.8,27.8,0.8,0.8,0.8,0.8,4.269,4.269,4.269,4.269
fixed,66,20,pt,high,measured,250,26.8,26.8,26.8,26.8,26.6,26.6,26.6,26.6,1.6,1.6,1.6,1.6,4.018,4.018,4.018,4.018
fixed,66,20,pl,medium,measured,250,24.4,24.4,24.4,24.4,29.6,29.6,29.6,29.6,2.4,2.4,2.4,2.4,3.757,3.757,3.757,3.757
fixed,66,20,nl,medium,measured,250,24.8,24.8,24.8,24.8,26.4,26.4,26.4,26.4,1.2,1.2,1.2,1.2,4.023,4.023,4.023,4.023
fixed,66,20,ru,medium,measured,250,29.6,29.6,29.6,29.6,29.4,29.4,29.4,29.4,1.6,1.6,1.6,1.6,3.712,3.712,3.712,3.712
fixed,66,20,hi,medium,measured,250,23.6,23.6,23.6,23.6,23.8,23.8,23.8,23.8,1.6,1.6,1.6,1.6,3.739,3.739,3.739,3.739
fixed,66,20,ko,medium,measured,250,22.4,22.4,22.4,22.4,25.6,25.6,25.6,25.6,1.2,1.2,1.2,1.2,3.576,3.576,3.576,3.576
fixed,66,20,ja,medium,measured,250,26.8,26.8,26.8,26.8,27.2,27.2,27.2,27.2,1.2,1.2,1.2,1.2,3.7,3.7,3.7,3.7
fixed,66,20,bn,low,measured,250,25.2,25.2,25.2,25.2,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,3.881,3.881,3.881,3.881
fixed,66,20,fa,low,measured,250,24.8,24.8,24.8,24.8,27.0,27.0,27.0,27.0,1.2,1.2,1.2,1.2,3.862,3.862,3.862,3.862
fixed,66,20,vi,low,measured,250,24.4,24.4,24.4,24.4,24.6,24.6,24.6,24.6,0.4,0.4,0.4,0.4,3.593,3.593,3.593,3.593
fixed,66,20,iw,low,measured,250,30.0,30.0,30.0,30.0,28.2,28.2,28.2,28.2,0.4,0.4,0.4,0.4,3.891,3.891,3.891,3.891
fixed,66,20,uk,low,measured,250,26.0,26.0,26.0,26.0,26.6,26.6,26.6,26.6,0.8,0.8,0.8,0.8,3.739,3.739,3.739,3.739
fixed,66,20,ta,low,measured,250,27.6,27.6,27.6,27.6,28.4,28.4,28.4,28.4,0.4,0.4,0.4,0.4,4.06,4.06,4.06,4.06
fixed,126,20,fr,high,measured,250,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,1.2,1.2,1.2,1.2,4.033,4.033,4.033,4.033
fixed,126,20,de,high,measured,250,27.6,27.6,27.6,27.6,24.2,24.2,24.2,24.2,1.6,1.6,1.6,1.6,3.451,3.451,3.451,3.451
