pool_size,lang,resource_tier,n_verify_lang,n_none_null,n_none_pos,null_provenance,pos_provenance,naive_fpr_lang,fpr_at_global_threshold,tau_lang,fpr_at_own_threshold,tpr_lang_empirical
33,fr,high,250,0,0,full125,suppressed,0.264,0.008,4.266559721856406,0.008,nan
33,de,high,250,0,0,full125,suppressed,0.258,0.008,3.4420226623826293,0.024,nan
33,it,high,250,0,0,full125,suppressed,0.288,0.012,3.455728624971769,0.044,nan
33,es,high,250,0,0,full125,suppressed,0.302,0.008,4.103114981754728,0.008,nan
33,pt,high,250,0,0,full125,suppressed,0.266,0.004,4.489698911578399,0.004,nan
33,pl,medium,250,0,0,full125,suppressed,0.282,0.024,3.8768205281138215,0.024,nan
33,nl,medium,250,0,0,full125,suppressed,0.26,0.004,3.686632428570971,0.012,nan
33,ru,medium,250,0,0,full125,suppressed,0.308,0.016,3.804052903650332,0.024,nan
33,hi,medium,250,0,0,full125,suppressed,0.28,0.008,3.9724653537432184,0.008,nan
33,ko,medium,250,0,0,full125,suppressed,0.302,0.008,3.7564046843805965,0.008,nan
33,ja,medium,250,0,0,full125,suppressed,0.316,0.008,3.7115691109063196,0.008,nan
33,bn,low,250,0,0,full125,suppressed,0.276,0.012,3.77162647240008,0.012,nan
33,fa,low,250,0,0,full125,suppressed,0.296,0.012,3.6939513576414287,0.02,nan
33,vi,low,250,0,0,full125,suppressed,0.298,0.016,3.4904879751867117,0.04,nan
33,iw,low,250,0,0,full125,suppressed,0.274,0.016,3.6099214581846057,0.04,nan
33,uk,low,250,0,0,full125,suppressed,0.284,0.02,3.903547858609428,0.024,nan
33,ta,low,250,0,0,full125,suppressed,0.294,0.008,4.014774503143399,0.008,nan
66,fr,high,250,0,0,full125,suppressed,0.228,0.004,3.749372724469773,0.012,nan
66,de,high,250,0,0,full125,suppressed,0.26,0.008,3.542687197411605,0.02,nan
66,it,high,250,0,0,full125,suppressed,0.262,0.012,3.5081028753003642,0.02,nan
66,es,high,250,0,0,full125,suppressed,0.278,0.008,4.269028973073389,0.0,nan
66,pt,high,250,0,0,full125,suppressed,0.266,0.016,4.017665702915002,0.004,nan
66,pl,medium,250,0,0,full125,suppressed,0.296,0.024,3.7570913421742436,0.028,nan
66,nl,medium,250,0,0,full125,suppressed,0.264,0.012,4.022553920758562,0.012,nan
66,ru,medium,250,0,0,full125,suppressed,0.294,0.016,3.7124517469244163,0.016,nan
66,hi,medium,250,0,0,full125,suppressed,0.238,0.016,3.739397797855644,0.032,nan
66,ko,medium,250,0,0,full125,suppressed,0.256,0.012,3.576368749886776,0.016,nan
66,ja,medium,250,0,0,full125,suppressed,0.272,0.012,3.700052673263544,0.02,nan
66,bn,low,250,0,0,full125,suppressed,0.25,0.0,3.88081695610284,0.0,nan
66,fa,low,250,0,0,full125,suppressed,0.27,0.012,3.8624180805836748,0.012,nan
66,vi,low,250,0,0,full125,suppressed,0.246,0.004,3.5934954225358884,0.016,nan
66,iw,low,250,0,0,full125,suppressed,0.282,0.004,3.89062559525572,0.004,nan
66,uk,low,250,0,0,full125,suppressed,0.266,0.008,3.738775767395684,0.008,nan
66,ta,low,250,0,0,full125,suppressed,0.284,0.004,4.0598262168447246,0.004,nan
126,fr,high,250,0,0,full125,suppressed,0.236,0.012,4.033449335984126,0.012,nan
126,de,high,250,0,0,full125,suppressed,0.242,0.016,3.4507952186460034,0.052,nan
126,it,high,250,0,0,full125,suppressed,0.26,0.012,3.775748142816275,0.02,nan
126,es,high,250,0,0,full125,suppressed,0.256,0.004,3.8675301332759897,0.004,nan
126,pt,high,250,0,0,full125,suppressed,0.264,0.016,4.0180698525176135,0.012,nan
126,pl,medium,250,0,0,full125,suppressed,0.302,0.012,3.7575967806816046,0.024,nan
126,nl,medium,250,0,0,full125,suppressed,0.27,0.004,3.5778650763234756,0.024,nan
126,ru,medium,250,0,0,full125,suppressed,0.282,0.004,3.7608966325621203,0.008,nan
126,hi,medium,250,0,0,full125,suppressed,0.276,0.012,3.926391297232386,0.012,nan
126,ko,medium,250,0,0,full125,suppressed,0.276,0.012,3.7564046843805965,0.016,nan
126,ja,medium,250,0,0,full125,suppressed,0.268,0.012,3.7547737270597525,0.016,nan
126,bn,low,250,0,0,full125,suppressed,0.274,0.016,3.5564347981867073,0.032,nan
126,fa,low,250,0,0,full125,suppressed,0.246,0.008,3.7549224422490113,0.016,nan
126,vi,low,250,0,0,full125,suppressed,0.234,0.004,4.065430829799641,0.004,nan
126,iw,low,250,0,0,full125,suppressed,0.27,0.0,3.7966469340231286,0.004,nan
126,uk,low,250,0,0,full125,suppressed,0.262,0.016,3.6771329788018323,0.016,nan
126,ta,low,250,0,0,full125,suppressed,0.244,0.004,4.161506220287636,0.004,nan
