pool_size,method,seed,lang,tpr_at_1pct_fpr,tpr_at_10pct_fpr,threshold_99th_pct,auc,n_human,n_watermarked,bonferroni_fpr,tpr_at_bonferroni_fpr
33,kgw,0,fr,0.83,0.98,2.5592091539727924,0.989552,500,500,0.00030303030303030303,0.608
33,kgw,0,de,0.792,0.968,2.630588448062943,0.9868379999999999,500,500,0.00030303030303030303,0.598
33,kgw,0,it,0.71,0.964,3.3841973054743417,0.984542,500,500,0.00030303030303030303,0.144
33,kgw,0,es,0.758,0.974,2.719939521966673,0.9883000000000001,500,500,0.00030303030303030303,0.646
33,kgw,0,hi,0.808,0.976,2.5402695999301383,0.989096,500,500,0.00030303030303030303,0.694
33,kgw,0,ko,0.708,0.954,2.6813257896994713,0.983164,500,500,0.00030303030303030303,0.59
33,kgw,0,ja,0.622,0.972,2.958565428075491,0.9824400000000001,500,500,0.00030303030303030303,0.22
33,kgw,0,bn,0.464,0.916,2.624373623984861,0.967496,500,500,0.00030303030303030303,0.16
66,kgw,0,fr,0.696,0.958,2.6123256680332543,0.9824959999999999,500,500,0.00015151515151515152,0.56
66,kgw,0,de,0.71,0.964,2.447579325522915,0.983152,500,500,0.00015151515151515152,0.532
66,kgw,0,it,0.612,0.938,2.9409501297163945,0.974296,500,500,0.00015151515151515152,0.08
66,kgw,0,es,0.622,0.95,2.843275418644067,0.9786440000000001,500,500,0.00015151515151515152,0.496
66,kgw,0,hi,0.58,0.94,2.880141657989998,0.976252,500,500,0.00015151515151515152,0.276
66,kgw,0,ko,0.7,0.948,2.3324568042676868,0.981352,500,500,0.00015151515151515152,0.326
66,kgw,0,ja,0.508,0.924,2.951526745202978,0.967734,500,500,0.00015151515151515152,0.226
66,kgw,0,bn,0.634,0.946,2.5713156554297236,0.9783120000000001,500,500,0.00015151515151515152,0.522
133,kgw,0,fr,0.582,0.932,2.8532062694553524,0.9760439999999999,500,500,7.518796992481203e-05,0.494
133,kgw,0,de,0.622,0.918,2.6574428116111326,0.9730679999999999,500,500,7.518796992481203e-05,0.462
133,kgw,0,it,0.53,0.97,3.3154604712744065,0.97797,500,500,7.518796992481203e-05,0.282
133,kgw,0,es,0.58,0.95,2.9407975014064744,0.975916,500,500,7.518796992481203e-05,0.484
133,kgw,0,hi,0.644,0.948,2.553135377578159,0.978352,500,500,7.518796992481203e-05,0.53
133,kgw,0,ko,0.46,0.92,3.0054693004157484,0.96842,500,500,7.518796992481203e-05,0.288
133,kgw,0,ja,0.498,0.954,2.8979867016716807,0.975062,500,500,7.518796992481203e-05,0.22
133,kgw,0,bn,0.604,0.972,2.6367068371077833,0.977904,500,500,7.518796992481203e-05,0.404
